M24,20210205,0.325,0.345,0.285,0.305,5873024,0
M24,20210208,0.305,0.305,0.27,0.27,1763448,0
M24,20210209,0.27,0.27,0.255,0.255,1122454,0
M24,20210210,0.255,0.28,0.255,0.26,1314661,0
M24,20210211,0.27,0.28,0.255,0.27,657682,0
M24,20210212,0.265,0.27,0.255,0.27,510254,0
M24,20210215,0.27,0.27,0.25,0.25,941246,0
M24,20210216,0.25,0.265,0.24,0.25,470454,0
M24,20210217,0.245,0.25,0.235,0.235,224470,0
M24,20210218,0.24,0.245,0.215,0.215,989803,0
M24,20210219,0.22,0.245,0.215,0.245,1042683,0
M24,20210222,0.245,0.245,0.235,0.245,281162,0
M24,20210223,0.255,0.28,0.245,0.28,1719786,0
M24,20210224,0.275,0.28,0.255,0.255,543591,0
M24,20210225,0.27,0.27,0.24,0.24,377037,0
M24,20210226,0.24,0.25,0.24,0.24,237432,0
M24,20210301,0.24,0.24,0.235,0.235,252801,0
M24,20210302,0.25,0.25,0.22,0.22,313318,0
M24,20210303,0.22,0.24,0.22,0.23,250992,0
M24,20210304,0.23,0.24,0.22,0.225,299348,0
M24,20210305,0.225,0.24,0.22,0.24,430445,0
M24,20210308,0.24,0.24,0.23,0.235,377111,0
M24,20210309,0.235,0.24,0.23,0.24,492163,0
M24,20210310,0.24,0.265,0.24,0.25,1343345,0
M24,20210311,0.255,0.255,0.235,0.235,450227,0
M24,20210312,0.24,0.24,0.235,0.235,226947,0
M24,20210315,0.24,0.245,0.24,0.245,182779,0
M24,20210316,0.245,0.275,0.245,0.27,1135349,0
M24,20210317,0.275,0.285,0.265,0.285,1142139,0
M24,20210318,0.285,0.285,0.265,0.265,833081,0
M24,20210319,0.265,0.295,0.26,0.29,1154874,0
M24,20210322,0.29,0.32,0.285,0.31,2679768,0
M24,20210323,0.315,0.315,0.29,0.305,809069,0
M24,20210324,0.3,0.355,0.3,0.3,2817712,0
M24,20210325,0.3,0.3,0.3,0.3,0,0
M24,20210326,0.3,0.3,0.3,0.3,0,0
M24,20210329,0.35,0.365,0.3,0.3,3048370,0
M24,20210330,0.315,0.315,0.27,0.27,1271543,0
M24,20210331,0.27,0.285,0.265,0.265,389946,0
M24,20210401,0.26,0.275,0.26,0.275,348580,0
M24,20210402,0.275,0.275,0.275,0.275,0,0
M24,20210405,0.275,0.275,0.275,0.275,0,0
M24,20210406,0.28,0.28,0.26,0.26,333115,0
M24,20210407,0.27,0.275,0.27,0.275,107249,0
M24,20210408,0.275,0.275,0.26,0.26,108947,0
M24,20210409,0.265,0.305,0.265,0.3,1394560,0
M24,20210412,0.3,0.3,0.285,0.285,571556,0
M24,20210413,0.285,0.285,0.27,0.275,523371,0
M24,20210414,0.27,0.285,0.27,0.275,302955,0
M24,20210415,0.28,0.28,0.27,0.27,388095,0
M24,20210416,0.27,0.28,0.27,0.27,246469,0
M24,20210419,0.275,0.285,0.27,0.27,166167,0
M24,20210420,0.275,0.28,0.27,0.27,264193,0
M24,20210421,0.265,0.27,0.255,0.255,203670,0
M24,20210422,0.255,0.255,0.24,0.24,625602,0
M24,20210423,0.24,0.24,0.23,0.23,304246,0
M24,20210426,0.24,0.25,0.24,0.25,152703,0
M24,20210427,0.24,0.24,0.24,0.24,102850,0
M24,20210428,0.25,0.25,0.235,0.235,83820,0
M24,20210429,0.235,0.25,0.23,0.25,234262,0
M24,20210430,0.235,0.235,0.235,0.235,36563,0
M24,20210503,0.235,0.24,0.22,0.22,447887,0
M24,20210504,0.22,0.23,0.22,0.23,237038,0
M24,20210505,0.23,0.235,0.22,0.225,73248,0
M24,20210506,0.225,0.235,0.225,0.225,34405,0
M24,20210507,0.235,0.24,0.23,0.24,142290,0
M24,20210510,0.225,0.225,0.225,0.225,182836,0
M24,20210511,0.235,0.235,0.215,0.215,439743,0
M24,20210512,0.22,0.23,0.215,0.215,95148,0
M24,20210513,0.215,0.215,0.2,0.2,197235,0
M24,20210514,0.2,0.22,0.2,0.205,131768,0
M24,20210517,0.22,0.22,0.205,0.215,128253,0
M24,20210518,0.215,0.23,0.215,0.23,89739,0
M24,20210519,0.21,0.21,0.205,0.205,135809,0
M24,20210520,0.21,0.215,0.21,0.21,94944,0
M24,20210521,0.21,0.21,0.205,0.205,114726,0
M24,20210524,0.225,0.275,0.215,0.265,1229155,0
M24,20210525,0.255,0.27,0.235,0.235,1867564,0
M24,20210526,0.235,0.25,0.235,0.25,269734,0
M24,20210527,0.25,0.285,0.25,0.26,659772,0
M24,20210528,0.26,0.285,0.255,0.28,593943,0
M24,20210531,0.28,0.28,0.26,0.265,531598,0
M24,20210601,0.265,0.28,0.25,0.25,1515684,0
M24,20210602,0.26,0.27,0.2525,0.27,309347,0
M24,20210603,0.27,0.27,0.26,0.26,116810,0
M24,20210604,0.27,0.27,0.255,0.255,211659,0
M24,20210607,0.255,0.255,0.245,0.245,766007,0
M24,20210608,0.245,0.245,0.235,0.24,153353,0
M24,20210609,0.24,0.25,0.235,0.245,181461,0
M24,20210610,0.25,0.25,0.245,0.25,109513,0
M24,20210611,0.25,0.255,0.24,0.24,183555,0
M24,20210614,0.24,0.24,0.24,0.24,0,0
M24,20210615,0.26,0.26,0.24,0.245,301191,0
M24,20210616,0.25,0.25,0.22,0.22,522543,0
M24,20210617,0.225,0.225,0.21,0.21,94755,0
M24,20210618,0.215,0.215,0.2,0.215,973271,0
M24,20210621,0.215,0.215,0.2,0.2,465794,0
M24,20210622,0.205,0.215,0.205,0.215,205147,0
M24,20210623,0.22,0.225,0.22,0.225,130256,0
M24,20210624,0.225,0.225,0.215,0.215,222712,0
M24,20210625,0.225,0.225,0.215,0.215,24500,0
M24,20210628,0.215,0.215,0.21,0.21,40392,0
M24,20210629,0.215,0.215,0.205,0.205,163081,0
M24,20210630,0.2,0.205,0.2,0.205,242004,0
M24,20210701,0.21,0.21,0.21,0.21,20856,0
