16/05/2008,0.48,0.48,0.4,0.435,80000
19/05/2008,0.43,0.45,0.385,0.385,148746
20/05/2008,0.395,0.435,0.395,0.435,80254
21/05/2008,0.435,0.435,0.4,0.42,81200
22/05/2008,0.41,0.415,0.405,0.41,75580
23/05/2008,0.41,0.41,0.4,0.4,24500
26/05/2008,0.4,0.44,0.4,0.41,31550
27/05/2008,0.405,0.405,0.405,0.405,18000
28/05/2008,0.4,0.405,0.39,0.4,79000
29/05/2008,0.39,0.4,0.39,0.4,30000
30/05/2008,0.39,0.39,0.39,0.39,7500
02/06/2008,0.39,0.39,0.385,0.385,16200
03/06/2008,0.4,0.41,0.4,0.4,47414
04/06/2008,0.4,0.4,0.4,0.4,0
05/06/2008,0.4,0.4,0.4,0.4,0
06/06/2008,0.4,0.4,0.4,0.4,1300
10/06/2008,0.4,0.4,0.4,0.4,0
11/06/2008,0.4,0.4,0.4,0.4,4000
12/06/2008,0.38,0.38,0.38,0.38,25000
13/06/2008,0.4,0.4,0.38,0.38,60000
16/06/2008,0.38,0.38,0.38,0.38,0
17/06/2008,0.38,0.38,0.38,0.38,0
18/06/2008,0.38,0.38,0.38,0.38,0
19/06/2008,0.36,0.365,0.355,0.355,33000
20/06/2008,0.355,0.355,0.355,0.355,0
23/06/2008,0.355,0.355,0.355,0.355,0
24/06/2008,0.3,0.3,0.3,0.3,5000
25/06/2008,0.3,0.3,0.3,0.3,0
26/06/2008,0.31,0.31,0.3,0.3,5000
27/06/2008,0.3,0.3,0.3,0.3,0
30/06/2008,0.34,0.34,0.34,0.34,5000
01/07/2008,0.33,0.33,0.33,0.33,1000
02/07/2008,0.32,0.32,0.32,0.32,500
03/07/2008,0.32,0.32,0.32,0.32,0
04/07/2008,0.32,0.32,0.32,0.32,0
07/07/2008,0.32,0.32,0.32,0.32,0
08/07/2008,0.32,0.32,0.285,0.285,6400
09/07/2008,0.285,0.285,0.285,0.285,0
10/07/2008,0.285,0.285,0.285,0.285,0
11/07/2008,0.3,0.3,0.26,0.26,11750
14/07/2008,0.26,0.26,0.26,0.26,13000
15/07/2008,0.25,0.3,0.25,0.3,20525
16/07/2008,0.32,0.34,0.32,0.34,25000
17/07/2008,0.34,0.39,0.34,0.38,29010
18/07/2008,0.38,0.38,0.38,0.38,5632
21/07/2008,0.37,0.37,0.37,0.37,1000
22/07/2008,0.37,0.37,0.37,0.37,0
23/07/2008,0.35,0.35,0.34,0.34,12500
24/07/2008,0.34,0.34,0.34,0.34,0
25/07/2008,0.31,0.31,0.31,0.31,10000
28/07/2008,0.31,0.31,0.31,0.31,0
29/07/2008,0.31,0.31,0.31,0.31,0
30/07/2008,0.31,0.31,0.31,0.31,0
31/07/2008,0.3,0.335,0.3,0.335,26668
01/08/2008,0.335,0.335,0.335,0.335,0
04/08/2008,0.335,0.335,0.335,0.335,0
05/08/2008,0.33,0.33,0.33,0.33,2000
06/08/2008,0.31,0.31,0.31,0.31,15000
07/08/2008,0.31,0.31,0.31,0.31,0
08/08/2008,0.29,0.29,0.27,0.27,50000
11/08/2008,0.27,0.27,0.27,0.27,5000
12/08/2008,0.27,0.27,0.27,0.27,0
13/08/2008,0.27,0.27,0.24,0.24,14990
14/08/2008,0.24,0.24,0.24,0.24,500
15/08/2008,0.3,0.33,0.3,0.33,17000
18/08/2008,0.33,0.33,0.33,0.33,0
19/08/2008,0.33,0.33,0.33,0.33,7000
20/08/2008,0.33,0.33,0.33,0.33,1000
21/08/2008,0.335,0.335,0.335,0.335,3582
22/08/2008,0.335,0.335,0.335,0.335,0
25/08/2008,0.335,0.335,0.335,0.335,0
26/08/2008,0.335,0.335,0.335,0.335,0
27/08/2008,0.335,0.335,0.335,0.335,0
28/08/2008,0.335,0.335,0.335,0.335,0
29/08/2008,0.335,0.335,0.335,0.335,0
01/09/2008,0.335,0.335,0.335,0.335,0
02/09/2008,0.335,0.335,0.335,0.335,0
03/09/2008,0.335,0.335,0.335,0.335,0
04/09/2008,0.335,0.335,0.335,0.335,0
05/09/2008,0.33,0.33,0.33,0.33,2000
08/09/2008,0.33,0.33,0.33,0.33,0
09/09/2008,0.33,0.33,0.33,0.33,0
10/09/2008,0.33,0.33,0.33,0.33,0
11/09/2008,0.33,0.33,0.33,0.33,0
12/09/2008,0.33,0.33,0.33,0.33,0
15/09/2008,0.33,0.33,0.33,0.33,0
16/09/2008,0.325,0.33,0.3,0.33,17000
17/09/2008,0.33,0.33,0.33,0.33,0
18/09/2008,0.33,0.33,0.33,0.33,0
19/09/2008,0.33,0.33,0.33,0.33,0
22/09/2008,0.33,0.33,0.33,0.33,0
23/09/2008,0.33,0.33,0.33,0.33,0
24/09/2008,0.28,0.28,0.28,0.28,7000
25/09/2008,0.28,0.28,0.28,0.28,0
26/09/2008,0.28,0.28,0.28,0.28,0
29/09/2008,0.28,0.28,0.28,0.28,0
30/09/2008,0.2,0.2,0.2,0.2,5000
01/10/2008,0.25,0.25,0.25,0.25,2500
02/10/2008,0.25,0.25,0.25,0.25,0
03/10/2008,0.25,0.25,0.25,0.25,0
06/10/2008,0.2,0.2,0.2,0.2,10000
07/10/2008,0.25,0.25,0.25,0.25,5000
08/10/2008,0.25,0.25,0.25,0.25,0
09/10/2008,0.25,0.25,0.25,0.25,0
10/10/2008,0.25,0.25,0.25,0.25,0
13/10/2008,0.25,0.25,0.25,0.25,0
14/10/2008,0.25,0.25,0.25,0.25,0
15/10/2008,0.25,0.25,0.25,0.25,0
16/10/2008,0.25,0.25,0.25,0.25,0
17/10/2008,0.18,0.18,0.18,0.18,5000
20/10/2008,0.18,0.18,0.18,0.18,0
21/10/2008,0.15,0.15,0.15,0.15,5000
22/10/2008,0.18,0.18,0.16,0.17,13000
23/10/2008,0.17,0.17,0.17,0.17,500
24/10/2008,0.17,0.17,0.17,0.17,0
